BIN;Network;Type;Category;Issuer
489479;VISA;CREDIT;PLATINUM;TURKIYE GARANTI BANKASI A. S.
490175;VISA;CREDIT;CLASSIC;TURKIYE GARANTI BANKASI A. S.
492187;VISA;CREDIT;GOLD;TURKIYE GARANTI BANKASI A. S.
492193;VISA;CREDIT;CLASSIC;TURKIYE GARANTI BANKASI A. S.
223380;MASTERCARD;CREDIT;B2B;TURKIYE GARANTI BANKASI, A.S.
514915;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
516943;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
516961;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
517040;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
517041;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
517042;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
517048;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
517049;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
520068;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
520097;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
520940;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
520988;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
521081;MASTERCARD;CREDIT;NEW WORLD;TURKIYE GARANTI BANKASI, A.S.
521824;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
521825;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
522204;MASTERCARD;CREDIT;GOLD;TURKIYE GARANTI BANKASI, A.S.
524433;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
524659;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
526955;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
528653;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
528939;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
528956;MASTERCARD;CREDIT;PLATINUM;TURKIYE GARANTI BANKASI, A.S.
533169;MASTERCARD;CREDIT;PREFERRED BUSINESS;TURKIYE GARANTI BANKASI, A.S.
534261;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
535429;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
535488;MASTERCARD;DEBIT;COMMERCIAL;TURKIYE GARANTI BANKASI, A.S.
535493;MASTERCARD;DEBIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
536836;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
536837;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
537224;MASTERCARD;DEBIT;PREPAID;TURKIYE GARANTI BANKASI, A.S.
537226;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
537227;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE GARANTI BANKASI, A.S.
537829;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
538121;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
538124;MASTERCARD;CREDIT;PREFERRED BUSINESS;TURKIYE GARANTI BANKASI, A.S.
538139;MASTERCARD;CREDIT;PREFERRED BUSINESS;TURKIYE GARANTI BANKASI, A.S.
538196;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
540036;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
540037;MASTERCARD;CREDIT;BUSINESS;TURKIYE GARANTI BANKASI, A.S.
540118;MASTERCARD;CREDIT;PLATINUM;TURKIYE GARANTI BANKASI, A.S.
540669;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
540709;MASTERCARD;CREDIT;WORLD BLACK;TURKIYE GARANTI BANKASI, A.S.
541865;MASTERCARD;CREDIT;MIXED;TURKIYE GARANTI BANKASI, A.S.
542030;MASTERCARD;CREDIT;GOLD;TURKIYE GARANTI BANKASI, A.S.
542111;MASTERCARD;CREDIT;BUSINESS;TURKIYE GARANTI BANKASI, A.S.
543394;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
543738;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
544078;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
544294;MASTERCARD;CREDIT;CLASSIC;TURKIYE GARANTI BANKASI, A.S.
544638;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
547968;MASTERCARD;CREDIT;BUSINESS;TURKIYE GARANTI BANKASI, A.S.
548334;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
548935;MASTERCARD;CREDIT;GOLD;TURKIYE GARANTI BANKASI, A.S.
549219;MASTERCARD;CREDIT;BUSINESS PREFERRED;TURKIYE GARANTI BANKASI, A.S.
549997;MASTERCARD;CREDIT;WORLD;TURKIYE GARANTI BANKASI, A.S.
552095;MASTERCARD;CREDIT;PLATINUM;TURKIYE GARANTI BANKASI, A.S.
553130;MASTERCARD;CREDIT;BUSINESS;TURKIYE GARANTI BANKASI, A.S.
554253;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
554254;MASTERCARD;CREDIT;GOLD;TURKIYE GARANTI BANKASI, A.S.
554796;MASTERCARD;CREDIT;GOLD;TURKIYE GARANTI BANKASI, A.S.
554960;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
555366;MASTERCARD;CREDIT;BUSINESS;TURKIYE GARANTI BANKASI, A.S.
557023;MASTERCARD;CREDIT;STANDARD;TURKIYE GARANTI BANKASI, A.S.
558699;MASTERCARD;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
589318;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
600208;MAESTRO;DEBIT;PREPAID;TURKIYE GARANTI BANKASI, A.S.
602970;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
603480;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
603492;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
603614;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
605036;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
670606;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
676255;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
676283;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
676651;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
676827;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
724365;MAESTRO;DEBIT;;TURKIYE GARANTI BANKASI, A.S.
401049;VISA;DEBIT;PLATINUM;TURKIYE HALK BANKASI, A.S.
402526;VISA;CREDIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
415514;VISA;CREDIT;PLATINUM;TURKIYE HALK BANKASI, A.S.
415515;VISA;DEBIT;ELECTRON;TURKIYE HALK BANKASI, A.S.
416607;VISA;CREDIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
421030;VISA;DEBIT;BUSINESS;TURKIYE HALK BANKASI, A.S.
423480;VISA;CREDIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
440776;VISA;DEBIT;ELECTRON;TURKIYE HALK BANKASI, A.S.
447505;VISA;DEBIT;ELECTRON;TURKIYE HALK BANKASI, A.S.
451454;VISA;DEBIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
456944;VISA;CREDIT;BUSINESS;TURKIYE HALK BANKASI, A.S.
466260;VISA;DEBIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
478551;VISA;DEBIT;BUSINESS;TURKIYE HALK BANKASI, A.S.
492094;VISA;CREDIT;GOLD;TURKIYE HALK BANKASI, A.S.
492095;VISA;CREDIT;CLASSIC;TURKIYE HALK BANKASI, A.S.
498852;VISA;CREDIT;BUSINESS;TURKIYE HALK BANKASI, A.S.
499821;VISA;DEBIT;ELECTRON;TURKIYE HALK BANKASI, A.S.
510056;MASTERCARD;CREDIT;STANDARD;TURKIYE HALK BANKASI, A.S.
511109;MASTERCARD;DEBIT;WORLD ELITE;TURKIYE HALK BANKASI, A.S.
521378;MASTERCARD;CREDIT;PLATINUM;TURKIYE HALK BANKASI, A.S.
526289;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE HALK BANKASI, A.S.
526290;MASTERCARD;DEBIT;STANDARD;TURKIYE HALK BANKASI, A.S.
527284;MASTERCARD;CREDIT;BUSINESS;TURKIYE HALK BANKASI, A.S.
529042;MASTERCARD;CREDIT;STANDARD;TURKIYE HALK BANKASI, A.S.
535241;MASTERCARD;DEBIT;PLATINUM;TURKIYE HALK BANKASI, A.S.
536503;MASTERCARD;CREDIT;STANDARD;TURKIYE HALK BANKASI, A.S.
537500;MASTERCARD;DEBIT;COMMERCIAL;TURKIYE HALK BANKASI, A.S.
540435;MASTERCARD;CREDIT;GOLD;TURKIYE HALK BANKASI, A.S.
542694;MASTERCARD;CREDIT;WORLD;TURKIYE HALK BANKASI, A.S.
543081;MASTERCARD;CREDIT;STANDARD;TURKIYE HALK BANKASI, A.S.
552879;MASTERCARD;CREDIT;PREFERRED BUSINESS;TURKIYE HALK BANKASI, A.S.
588843;LOCAL BRAND;DEBIT;CIRRUS;TURKIYE HALK BANKASI, A.S.
639001;MAESTRO;DEBIT;CIRRUS;TURKIYE HALK BANKASI, A.S.
676258;MAESTRO;DEBIT;;TURKIYE HALK BANKASI, A.S.
401071;VISA;DEBIT;ELECTRON;TURKIYE IS BANKASI, A.S.
403998;VISA;DEBIT;CLASSIC;TURKIYE IS BANKASI, A.S.
406456;VISA;CREDIT;;TURKIYE IS BANKASI, A.S.
418342;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
418343;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
418344;VISA;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
418345;VISA;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
420556;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423425;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423430;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423431;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423432;VISA;DEBIT;CLASSIC;TURKIYE IS BANKASI, A.S.
423433;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
423434;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423435;VISA;DEBIT;SIGNATURE;TURKIYE IS BANKASI, A.S.
423436;VISA;DEBIT;CLASSIC;TURKIYE IS BANKASI, A.S.
423437;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
423455;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
435446;VISA;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
438331;VISA;CREDIT;BUSINESS;TURKIYE IS BANKASI, A.S.
441075;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
441076;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
441077;VISA;DEBIT;BUSINESS;TURKIYE IS BANKASI, A.S.
450803;VISA;CREDIT;BUSINESS;TURKIYE IS BANKASI, A.S.
454314;VISA;DEBIT;CLASSIC;TURKIYE IS BANKASI, A.S.
454318;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
454358;VISA;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
454359;VISA;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
454360;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
460925;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
473956;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
473957;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
473998;VISA;CREDIT;CORPORATE T&E;TURKIYE IS BANKASI, A.S.
474138;VISA;DEBIT;PREPAID BUSINESS;TURKIYE IS BANKASI, A.S.
474301;VISA;CREDIT;INFINITE;TURKIYE IS BANKASI, A.S.
474302;VISA;DEBIT;INFINITE;TURKIYE IS BANKASI, A.S.
474308;VISA;CREDIT;INFINITE;TURKIYE IS BANKASI, A.S.
474340;VISA;CREDIT;SIGNATURE;TURKIYE IS BANKASI, A.S.
474500;VISA;DEBIT;INFINITE;TURKIYE IS BANKASI, A.S.
474508;VISA;CREDIT;SIGNATURE;TURKIYE IS BANKASI, A.S.
479610;VISA;CREDIT;CLASSIC;TURKIYE IS BANKASI, A.S.
483602;VISA;DEBIT;CLASSIC;TURKIYE IS BANKASI, A.S.
489375;VISA;DEBIT;PREPAID CLASSIC;TURKIYE IS BANKASI, A.S.
510152;MASTERCARD;CREDIT;STANDARD;TURKIYE IS BANKASI, A.S.
520653;MASTERCARD;CREDIT;;TURKIYE IS BANKASI, A.S.
525382;MASTERCARD;CREDIT;STANDARD;TURKIYE IS BANKASI, A.S.
533803;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
534653;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
535279;MASTERCARD;DEBIT;COMMERCIAL;TURKIYE IS BANKASI, A.S.
535514;MASTERCARD;DEBIT;STANDARD;TURKIYE IS BANKASI, A.S.
537475;MASTERCARD;DEBIT;STANDARD;TURKIYE IS BANKASI, A.S.
537548;MASTERCARD;DEBIT;COMMERCIAL;TURKIYE IS BANKASI, A.S.
537567;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
540667;MASTERCARD;CREDIT;PLATINUM;TURKIYE IS BANKASI, A.S.
540668;MASTERCARD;CREDIT;NEW WORLD;TURKIYE IS BANKASI, A.S.
541440;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
543198;MASTERCARD;DEBIT;STANDARD;TURKIYE IS BANKASI, A.S.
543709;MASTERCARD;CREDIT;STANDARD;TURKIYE IS BANKASI, A.S.
543745;MASTERCARD;CREDIT;STANDARD;TURKIYE IS BANKASI, A.S.
543771;MASTERCARD;CREDIT;PLATINUM;TURKIYE IS BANKASI, A.S.
543867;MASTERCARD;DEBIT;STANDARD;TURKIYE IS BANKASI, A.S.
545254;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
548237;MASTERCARD;CREDIT;GOLD;TURKIYE IS BANKASI, A.S.
548615;MASTERCARD;CREDIT;WORLD BLACK;TURKIYE IS BANKASI, A.S.
552096;MASTERCARD;CREDIT;NEW WORLD;TURKIYE IS BANKASI, A.S.
552427;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE IS BANKASI, A.S.
553058;MASTERCARD;CREDIT;BUSINESS;TURKIYE IS BANKASI, A.S.
559289;MASTERCARD;CREDIT;BUSINESS;TURKIYE IS BANKASI, A.S.
589283;MAESTRO;DEBIT;;TURKIYE IS BANKASI, A.S.
671187;MAESTRO;DEBIT;;TURKIYE IS BANKASI, A.S.
454309;VISA;CREDIT;;TURKIYE TURIZM YATIRIM VE DIS TICARET BANKASI
402940;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
409084;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
411724;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
411942;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
411943;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
411944;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
411979;VISA;CREDIT;PLATINUM;TURKIYE VAKIFLAR BANKASI T.A.O.
415792;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
416757;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
423478;VISA;DEBIT;PLATINUM;TURKIYE VAKIFLAR BANKASI T.A.O.
428945;VISA;CREDIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
434530;VISA;DEBIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
434724;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
442671;VISA;DEBIT;PREPAID CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
444028;VISA;DEBIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
459252;VISA;CREDIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
479908;VISA;CREDIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
479909;VISA;CREDIT;PLATINUM;TURKIYE VAKIFLAR BANKASI T.A.O.
483612;VISA;DEBIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
491005;VISA;DEBIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
493840;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
493841;VISA;CREDIT;CLASSIC;TURKIYE VAKIFLAR BANKASI T.A.O.
493846;VISA;CREDIT;GOLD;TURKIYE VAKIFLAR BANKASI T.A.O.
510238;MASTERCARD;CREDIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
520017;MASTERCARD;CREDIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
522441;MASTERCARD;CREDIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
527590;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE VAKIFLAR BANKASI T.A.O.
531369;MASTERCARD;CREDIT;WORLD;TURKIYE VAKIFLAR BANKASI T.A.O.
531457;MASTERCARD;DEBIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
535576;MASTERCARD;DEBIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
535775;MASTERCARD;DEBIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
536977;MASTERCARD;CREDIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
537504;MASTERCARD;DEBIT;COMMERCIAL;TURKIYE VAKIFLAR BANKASI T.A.O.
540045;MASTERCARD;CREDIT;MIXED;TURKIYE VAKIFLAR BANKASI T.A.O.
540046;MASTERCARD;CREDIT;MIXED;TURKIYE VAKIFLAR BANKASI T.A.O.
542119;MASTERCARD;CREDIT;MIXED;TURKIYE VAKIFLAR BANKASI T.A.O.
542798;MASTERCARD;CREDIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
542804;MASTERCARD;CREDIT;GOLD;TURKIYE VAKIFLAR BANKASI T.A.O.
547244;MASTERCARD;CREDIT;BUSINESS;TURKIYE VAKIFLAR BANKASI T.A.O.
550291;MASTERCARD;CREDIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
552101;MASTERCARD;CREDIT;WORLD;TURKIYE VAKIFLAR BANKASI T.A.O.
554548;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE VAKIFLAR BANKASI T.A.O.
555467;MASTERCARD;DEBIT;PREPAID RELOADABLE;TURKIYE VAKIFLAR BANKASI T.A.O.
589311;MAESTRO;DEBIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
650052;TROY;CREDIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
676429;MAESTRO;DEBIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
679951;MAESTRO;DEBIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
825430;LOCAL BRAND;DEBIT;;TURKIYE VAKIFLAR BANKASI T.A.O.
990015;MAESTRO;DEBIT;STANDARD;TURKIYE VAKIFLAR BANKASI T.A.O.
979231;TROY;DEBIT;PERSONAL;TURKLAND BANK
603005;LOCAL BRAND;DEBIT;PERSONAL;TURKLAND BANK, A.S.
501774;MAESTRO;DEBIT;;VAKIF BANK
531133;MASTERCARD;DEBIT;STANDARD;VAKIF KATILIM BANKASI
531883;MASTERCARD;CREDIT;BUSINESS;VAKIF KATILIM BANKASI
532322;MASTERCARD;CREDIT;STANDARD;VAKIF KATILIM BANKASI
535355;MASTERCARD;CREDIT;STANDARD;VAKIF KATILIM BANKASI
547980;MASTERCARD;CREDIT;BUSINESS;VAKIF KATILIM BANKASI
558215;MASTERCARD;DEBIT;STANDARD;VAKIF KATILIM BANKASI
639086;MAESTRO;DEBIT;;VAKIF KATILIM BANKASI
670544;MAESTRO;DEBIT;;VAKIF KATILIM BANKASI
483703;VISA;CREDIT;PERSONAL;VAKIF KATILIM BANKASI A.S
483704;VISA;CREDIT;PERSONAL;VAKIF KATILIM BANKASI A.S
900210;TROY;CREDIT;PERSONAL;VAKIF KATILIM BANKASI A.S
979230;TROY;CREDIT;PERSONAL;VAKIF KATILIM BANKASI A.S
979250;TROY;DEBIT;PERSONAL;VAKIF KATILIM BANKASI A.S
979265;TROY;DEBIT;PERSONAL;VAKIF KATILIM BANKASI A.S
540486;MASTERCARD;DEBIT;PREPAID RELOADABLE;VEPARA ODEME VE ELEKTRONIK PARA HIZMETLERI AS
588992;MAESTRO;DEBIT;STANDARD;YAPI KREDI
589117;MAESTRO;DEBIT;STANDARD;YAPI KREDI
601881;MAESTRO;CREDIT;STANDARD;YAPI KREDI
602676;MAESTRO;CREDIT;STANDARD;YAPI KREDI
200302;LOCAL BRAND;DEBIT;;YAPI KREDI SIGORTA, A.S.
401622;VISA;DEBIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
404809;VISA;CREDIT;INFINITE;YAPI VE KREDI BANKASI, A.S.
406281;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
409021;VISA;CREDIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
409022;VISA;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
413382;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
414392;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
416510;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
416512;VISA;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
420342;VISA;DEBIT;PREPAID CLASSIC;YAPI VE KREDI BANKASI, A.S.
420343;VISA;DEBIT;PREPAID CLASSIC;YAPI VE KREDI BANKASI, A.S.
420344;VISA;DEBIT;PREPAID BUSINESS;YAPI VE KREDI BANKASI, A.S.
434728;VISA;DEBIT;PREPAID;YAPI VE KREDI BANKASI, A.S.
434742;VISA;DEBIT;PREPAID;YAPI VE KREDI BANKASI, A.S.
434839;VISA;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
442106;VISA;DEBIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
446212;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
450634;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
455359;VISA;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
455360;VISA;DEBIT;GOLD;YAPI VE KREDI BANKASI, A.S.
476625;VISA;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
476626;VISA;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
477959;VISA;CREDIT;PERSONAL;YAPI VE KREDI BANKASI, A.S.
479612;VISA;DEBIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
479620;VISA;CREDIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
479794;VISA;CREDIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
479795;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
490983;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
491205;VISA;CREDIT;SIGNATURE;YAPI VE KREDI BANKASI, A.S.
491206;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
492128;VISA;CREDIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
492129;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
492130;VISA;CREDIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
492131;VISA;CREDIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
494314;VISA;DEBIT;CLASSIC;YAPI VE KREDI BANKASI, A.S.
510054;MASTERCARD;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
516888;MASTERCARD;DEBIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
521400;MASTERCARD;CREDIT;WORLD;YAPI VE KREDI BANKASI, A.S.
523034;MASTERCARD;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
525864;MASTERCARD;CREDIT;WORLD;YAPI VE KREDI BANKASI, A.S.
533253;MASTERCARD;DEBIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
533913;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
535435;MASTERCARD;DEBIT;PLATINUM;YAPI VE KREDI BANKASI, A.S.
535601;MASTERCARD;DEBIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
535602;MASTERCARD;DEBIT;COMMERCIAL;YAPI VE KREDI BANKASI, A.S.
537518;MASTERCARD;DEBIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
537833;MASTERCARD;DEBIT;PREPAID RELOADABLE;YAPI VE KREDI BANKASI, A.S.
540061;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
540062;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
540063;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
540122;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
540129;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
541762;MASTERCARD;CREDIT;BUSINESS;YAPI VE KREDI BANKASI, A.S.
542117;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
542836;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
543187;MASTERCARD;CREDIT;WORLD;YAPI VE KREDI BANKASI, A.S.
544568;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
544569;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
544716;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
545103;MASTERCARD;CREDIT;WORLD;YAPI VE KREDI BANKASI, A.S.
545442;MASTERCARD;CREDIT;GOLD;YAPI VE KREDI BANKASI, A.S.
545469;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
545560;MASTERCARD;CREDIT;STANDARD;YAPI VE KREDI BANKASI, A.S.
545583;MASTERCARD;CREDIT;WORLD;YAPI VE KREDI BANKASI, A.S.
